"recipe_id","step_no","stage","action","paint","brand","mix","method_notes","confidence","source_tier","source_link"
"AC_ARMOUR_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime for strong shadows and clean coverage (black prime works well for Custodes gold).","Medium","A",""
"AC_ARMOUR_MIX_01","2","Base","Basecoat","Xtreme Metal Bronze","AK Interactive","","Basecoat gold smoothly (2 thin coats).","Medium","A",""
"AC_ARMOUR_MIX_01","3","Shade","Shade","Seraphim Sepia","Citadel","","Shade recesses (controlled wash). Let it dry fully before highlights.","Medium","A",""
"AC_ARMOUR_MIX_01","4","Highlight","Highlight","Silver Grey","AK Interactive","","Highlight edges and raised filigree; keep it crisp and bright.","Medium","A",""
"AC_BASES_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime for strong shadows and clean coverage (black prime works well for Custodes gold).","Medium","A",""
"AC_BASES_MIX_01","2","Base","Basecoat","Mournfang Brown","Citadel","","Basecoat base with a neutral earth tone; keep it subdued vs gold armour.","Medium","A",""
"AC_BASES_MIX_01","3","Shade","Shade","Seraphim Sepia","Citadel","","Shade recesses for depth.","Medium","A",""
"AC_BASES_MIX_01","4","Highlight","Highlight","Sand Yellow","AK Interactive","","Drybrush/light highlight for texture.","Medium","A",""
"AC_CLOTHROBES_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime for strong shadows and clean coverage (black prime works well for Custodes gold).","Medium","A",""
"AC_CLOTHROBES_MIX_01","2","Base","Basecoat","Matt Red","AK Interactive","","Basecoat cloth/plumes red; smooth coverage.","Medium","A",""
"AC_CLOTHROBES_MIX_01","3","Shade","Shade","Carroburg Crimson","Citadel","","Shade into folds; avoid pooling on flat areas.","Medium","A",""
"AC_CLOTHROBES_MIX_01","4","Highlight","Highlight","Troll Slayer Orange","Citadel","","Highlight upper folds; keep saturation strong.","Medium","A",""
"AC_DETAILS_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime for strong shadows and clean coverage (black prime works well for Custodes gold).","Medium","A",""
"AC_DETAILS_MIX_01","2","Base","Basecoat","Wraithbone","Citadel","","Details default: parchment/bone accents.","Medium","A",""
"AC_DETAILS_MIX_01","3","Shade","Shade","Seraphim Sepia","Citadel","","Sepia/brown shade into recesses.","Medium","A",""
"AC_DETAILS_MIX_01","4","Highlight","Highlight","White","AK Interactive","","Highlight edges; keep it crisp.","Medium","A",""
"AC_LEATHER_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime for strong shadows and clean coverage (black prime works well for Custodes gold).","Medium","A",""
"AC_LEATHER_MIX_01","2","Base","Basecoat","Hardened Leather","Army Painter","","Basecoat leather straps/holsters.","Medium","A",""
"AC_LEATHER_MIX_01","3","Shade","Shade","Seraphim Sepia","Citadel","","Shade seams/recesses.","Medium","A",""
"AC_LEATHER_MIX_01","4","Highlight","Highlight","Sand Yellow","AK Interactive","","Highlight edges/wear points with a tan/buff tone.","Medium","A",""
"AC_LENSESGEMS_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime for strong shadows and clean coverage (black prime works well for Custodes gold).","Medium","A",""
"AC_LENSESGEMS_MIX_01","2","Base","Basecoat","Greenish White","AK Interactive","","Basecoat gems with a saturated hue.","Medium","A",""
"AC_LENSESGEMS_MIX_01","3","Shade","Shade","Coelia Greenshade","Citadel","","Shade edges/recess; keep the center brighter for glow.","Medium","A",""
"AC_LENSESGEMS_MIX_01","4","Highlight","Highlight","White","AK Interactive","","Highlight upper edge/center; add tiny dot for shine.","Medium","A",""
"AC_LENSESGLOW_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime for strong shadows and clean coverage (black prime works well for Custodes gold).","Medium","A",""
"AC_LENSESGLOW_MIX_01","2","Base","Basecoat","Greenish White","AK Interactive","","Basecoat lenses/glow with a saturated hue.","Medium","A",""
"AC_LENSESGLOW_MIX_01","3","Shade","Shade","Coelia Greenshade","Citadel","","Shade edges/recess; keep the center brighter for glow.","Medium","A",""
"AC_LENSESGLOW_MIX_01","4","Highlight","Highlight","White","AK Interactive","","Final highlight + tiny specular dot if desired.","Medium","A",""
"AC_METALS_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime for strong shadows and clean coverage (black prime works well for Custodes gold).","Medium","A",""
"AC_METALS_MIX_01","2","Base","Basecoat","Silver Grey","AK Interactive","","Basecoat steel/silver metals (weapons, joints, machinery).","Medium","A",""
"AC_METALS_MIX_01","3","Shade","Shade","Nuln Oil","Citadel","","Pin wash into recesses; wipe excess from flats.","Medium","A",""
"AC_METALS_MIX_01","4","Highlight","Highlight","Silver Grey","AK Interactive","AK Interactive Silver Grey + tiny amount of Titanium White (edge highlight mix)","Edge highlight rivets/corners with the brightened mix; keep it thin and sparing.","Medium","A",""
"AC_WEAPONS_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime for strong shadows and clean coverage (black prime works well for Custodes gold).","Medium","A",""
"AC_WEAPONS_MIX_01","2","Base","Basecoat","Rubber Black","AK Interactive","","Basecoat weapon casings black; keep metals separate if possible.","Medium","A",""
"AC_WEAPONS_MIX_01","3","Shade","Shade","Nuln Oil","Citadel","","Recess shade; focus vents/joins/undercuts.","Medium","A",""
"AC_WEAPONS_MIX_01","4","Highlight","Highlight","Graphite","AK Interactive","","Edge highlight on casing corners; subtle and clean.","Medium","A",""
"AEB_ARMOUR_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Black primer deepens recesses","High","C",""
"AEB_ARMOUR_MIX_01","2","Prime","Zenithal","White","AK Interactive","","Optional: dust from above to guide highlights","Medium","C",""
"AEB_ARMOUR_MIX_01","3","Base","Basecoat","White Blue","Pro Acryl","","Smooth thin coats; keep texture minimal","High","C",""
"AEB_ARMOUR_MIX_01","4","Shade","Recess shade","Black Knight","AK Interactive","","Pin-wash recesses; keep flats clean","High","C",""
"AEB_ARMOUR_MIX_01","5","Layer","Layer","White Blue","Pro Acryl","","Re-establish midtone on panels","High","C",""
"AEB_ARMOUR_MIX_01","6","Highlight","Highlight","Snow Blue","AK Interactive","","Build highlights on upper volumes","High","C",""
"AEB_ARMOUR_MIX_01","7","Edge","Edge highlight","Bold Titanium White","Pro Acryl","","Thin edge lines; corners get tiny points","Medium","C",""
"AEB_BASES_MIX_01","1","Base","Texture","Texture Paste (any)","Generic","","Apply texture; let dry fully","High","C",""
"AEB_BASES_MIX_01","2","Base","Basecoat","Grey-Blue","AK Interactive","","Base ground","High","C",""
"AEB_BASES_MIX_01","3","Shade","Shade","Oblivion Black Wash","Two Thin Coats","","Shade recesses","High","C",""
"AEB_BASES_MIX_01","4","Highlight","Drybrush","Bright Pale Yellow","Pro Acryl","","Drybrush raised texture","High","C",""
"AEB_BASES_MIX_01","5","Finish","Rim","Transparent Black","Pro Acryl","","Clean rim finish","High","C",""
"AEB_CLOTH_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Any primer is fine","High","C",""
"AEB_CLOTH_MIX_01","2","Base","Basecoat","Skeleton Bone","Vallejo","","Base cloth; thin coats","High","C",""
"AEB_CLOTH_MIX_01","3","Shade","Shade","Archaic Sepia Wash","Two Thin Coats","","Shade folds; keep it clean","High","C",""
"AEB_CLOTH_MIX_01","4","Highlight","Highlight","Skeleton Bone","Vallejo","","Re-layer raised folds","High","C",""
"AEB_CLOTH_MIX_01","5","Edge","Edge highlight","Bold Titanium White","Pro Acryl","","Final fold edges","Medium","C",""
"AEB_DETAILS_MIX_01","1","Base","Basecoat","Skeleton Bone","Vallejo","","Parchment/bone base","High","C",""
"AEB_DETAILS_MIX_01","2","Shade","Shade","Archaic Sepia Wash","Two Thin Coats","","Warm tint; wick excess","High","C",""
"AEB_DETAILS_MIX_01","3","Highlight","Edge highlight","Bold Titanium White","Pro Acryl","","Final sharp edges","Medium","C",""
"AEB_DETAILS_MIX_01","4","Base","Basecoat","Matt Red","AK Interactive","","Wax seals base (if present)","Medium","C",""
"AEB_DETAILS_MIX_01","5","Highlight","Highlight","Sanguine Scarlet","Two Thin Coats","","Seal highlight","Low","C",""
"AEB_LEATHER_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Any primer is fine","High","C",""
"AEB_LEATHER_MIX_01","2","Base","Basecoat","Dark Green Brown","Pro Acryl","","Leather base","High","C",""
"AEB_LEATHER_MIX_01","3","Shade","Shade","Battle Mud Wash","Two Thin Coats","","Controlled shade","High","C",""
"AEB_LEATHER_MIX_01","4","Highlight","Edge highlight","Skeleton Bone","Vallejo","","Edges/corners","Medium","C",""
"AEB_LENSES_MIX_01","1","Base","Basecoat","Dark Green Brown","Pro Acryl","","Keep within lens shape","High","C",""
"AEB_LENSES_MIX_01","2","Layer","Layer","Lime Green","Vallejo","","Lower/front area","High","C",""
"AEB_LENSES_MIX_01","3","Edge","Dot highlight","Bold Titanium White","Pro Acryl","","Tiny dot","High","C",""
"AEB_LENSES_MIX_01","4","Optional","Finish","Polyurethane Gloss Varnish","Vallejo","","Optional gloss pop","Low","C",""
"AEB_LENSESGLOW_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime black for strong contrast and glow pop.","Low","C",""
"AEB_LENSESGLOW_MIX_01","2","Base","Basecoat","Grey-Blue","AK Interactive","","Basecoat lenses/glow; keep the center brighter if possible.","Low","C",""
"AEB_LENSESGLOW_MIX_01","3","Shade","Shade","Coelia Greenshade","Citadel","","Shade edges/recess; avoid flooding the center.","Low","C",""
"AEB_LENSESGLOW_MIX_01","4","Highlight","Highlight","White","AK Interactive","AK Interactive Grey-Blue + White (tiny dot/edge)","Final highlight + tiny specular dot; gloss varnish optional.","Low","C",""
"AEB_METALS_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Black helps metallic coverage","High","C",""
"AEB_METALS_MIX_01","2","Base","Basecoat","Rich Gold","Pro Acryl","","Smooth metallic base","High","C",""
"AEB_METALS_MIX_01","3","Shade","Shade","Oblivion Black Wash","Two Thin Coats","","Controlled shade; wick excess from flats","High","C",""
"AEB_METALS_MIX_01","4","Highlight","Highlight","Silver Grey","AK Interactive","","Edges + bright points","High","C",""
"AEB_WEAPONS_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Black primer is the base","High","C",""
"AEB_WEAPONS_MIX_01","2","Base","Basecoat","Transparent Black","Pro Acryl","","Reinforce clean black","High","C",""
"AEB_WEAPONS_MIX_01","3","Highlight","Edge highlight","Grey-Blue","AK Interactive","","Thin edge lines","High","C",""
"AEB_WEAPONS_MIX_01","4","Edge","Final points","Stone Grey","Vallejo","","Tiny points only","Low","C",""
"AEL_ARMOUR_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime for strong shadows and clean coverage (black prime recommended for Ulthwé-style Aeldari).","Medium","A",""
"AEL_ARMOUR_MIX_01","2","Base","Basecoat","Rubber Black","AK Interactive","","Basecoat armour black smoothly (2 thin coats).","Medium","A",""
"AEL_ARMOUR_MIX_01","3","Shade","Shade","Nuln Oil","Citadel","","Recess shade for definition; keep flat panels clean.","Medium","A",""
"AEL_ARMOUR_MIX_01","4","Highlight","Highlight","Graphite","AK Interactive","","Edge highlight with a dark grey/graphite; thin, controlled lines.","Medium","A",""
"AEL_ASU_ARMOUR_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime black for strong contrast and easy shading.","High","C",""
"AEL_ASU_ARMOUR_MIX_01","2","Base","Basecoat","Wraithbone","Citadel","","Basecoat evenly; thin coats, preserve detail.","Low","C",""
"AEL_ASU_ARMOUR_MIX_01","3","Shade","Shade","Seraphim Sepia","Citadel","","Shade recesses (pin wash where possible); keep flats clean.","Low","C",""
"AEL_ASU_ARMOUR_MIX_01","4","Highlight","Highlight","White","AK Interactive","AK Interactive White + tiny amount of White for final edge","Edge highlight + final accents; keep lines crisp.","Low","C",""
"AEL_ASU_BASES_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime black for strong contrast and easy shading.","High","C",""
"AEL_ASU_BASES_MIX_01","2","Base","Basecoat","Hardened Leather","Army Painter","","Basecoat evenly; thin coats, preserve detail.","Low","C",""
"AEL_ASU_BASES_MIX_01","3","Shade","Shade","Seraphim Sepia","Citadel","","Shade recesses (pin wash where possible); keep flats clean.","Low","C",""
"AEL_ASU_BASES_MIX_01","4","Highlight","Highlight","Sand Yellow","AK Interactive","AK Interactive Sand Yellow + tiny amount of White for final edge","Edge highlight + final accents; keep lines crisp.","Low","C",""
"AEL_ASU_CLOTH_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime black for strong contrast and easy shading.","High","C",""
"AEL_ASU_CLOTH_MIX_01","2","Base","Basecoat","Rubber Black","AK Interactive","","Basecoat evenly; thin coats, preserve detail.","Low","C",""
"AEL_ASU_CLOTH_MIX_01","3","Shade","Shade","Nuln Oil","Citadel","","Shade recesses (pin wash where possible); keep flats clean.","Low","C",""
"AEL_ASU_CLOTH_MIX_01","4","Highlight","Highlight","Graphite","AK Interactive","AK Interactive Graphite + tiny amount of White for final edge","Edge highlight + final accents; keep lines crisp.","Low","C",""
"AEL_ASU_DETAILS_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime black for strong contrast and easy shading.","High","C",""
"AEL_ASU_DETAILS_MIX_01","2","Base","Basecoat","Wraithbone","Citadel","","Basecoat evenly; thin coats, preserve detail.","Low","C",""
"AEL_ASU_DETAILS_MIX_01","3","Shade","Shade","Seraphim Sepia","Citadel","","Shade recesses (pin wash where possible); keep flats clean.","Low","C",""
"AEL_ASU_DETAILS_MIX_01","4","Highlight","Highlight","White","AK Interactive","AK Interactive White + tiny amount of White for final edge","Edge highlight + final accents; keep lines crisp.","Low","C",""
"AEL_ASU_GEMS_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime black for strong contrast and easy shading.","High","C",""
"AEL_ASU_GEMS_MIX_01","2","Base","Basecoat","Grey-Blue","AK Interactive","","Basecoat evenly; thin coats, preserve detail.","Low","C",""
"AEL_ASU_GEMS_MIX_01","3","Shade","Shade","Coelia Greenshade","Citadel","","Shade recesses (pin wash where possible); keep flats clean.","Low","C",""
"AEL_ASU_GEMS_MIX_01","4","Highlight","Highlight","White","AK Interactive","AK Interactive White + tiny amount of White for final edge","Edge highlight + final accents; keep lines crisp.","Low","C",""
"AEL_ASU_METALS_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime black for strong contrast and easy shading.","High","C",""
"AEL_ASU_METALS_MIX_01","2","Base","Basecoat","Silver Grey","AK Interactive","","Basecoat evenly; thin coats, preserve detail.","Low","C",""
"AEL_ASU_METALS_MIX_01","3","Shade","Shade","Nuln Oil","Citadel","","Shade recesses (pin wash where possible); keep flats clean.","Low","C",""
"AEL_ASU_METALS_MIX_01","4","Highlight","Highlight","Silver Grey","AK Interactive","AK Interactive Silver Grey + tiny amount of White for final edge","Edge highlight + final accents; keep lines crisp.","Low","C",""
"AEL_ASU_WEAPONS_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime black for strong contrast and easy shading.","High","C",""
