"recipe_id","faction","surface","style","look_summary","finish","difficulty","time_mode","notes","reference_folder","scheme_tag","primary_colour","variant_group","faction_family"
"AC_ARMOUR_MIX_01","Adeptus Custodes","Armour","Truth Pass v2","Official/box-art aligned Custodes. Surface recipe for Armour using owned paints.","Satin","Standard","Standard","Truth Pass v2: scheme-aligned, inventory-locked paints. Generic fallback only.","references/Adeptus Custodes/Armour","Classic Gold (official/box-art compass)","Gold","",""
"AC_BASES_MIX_01","Adeptus Custodes","Bases","Truth Pass v2","Official/box-art aligned Custodes. Surface recipe for Bases using owned paints.","Matte","Standard","Standard","Truth Pass v2: scheme-aligned, inventory-locked paints. Generic fallback only.","references/Adeptus Custodes/Bases","Classic Gold (official/box-art compass)","Neutral","",""
"AC_CLOTHROBES_MIX_01","Adeptus Custodes","Cloth & Robes","Truth Pass v2","Official/box-art aligned Custodes. Surface recipe for Cloth & Robes using owned paints.","Matte","Standard","Standard","Truth Pass v2: scheme-aligned, inventory-locked paints. Generic fallback only.","references/Adeptus Custodes/Cloth & Robes","Classic Gold (official/box-art compass)","Red","",""
"AC_DETAILS_MIX_01","Adeptus Custodes","Details","Truth Pass v2","Official/box-art aligned Custodes. Surface recipe for Details using owned paints.","Matte","Standard","Standard","Truth Pass v2: scheme-aligned, inventory-locked paints. Generic fallback only.","references/Adeptus Custodes/Details","Classic Gold (official/box-art compass)","Bone","",""
"AC_LEATHER_MIX_01","Adeptus Custodes","Leather","Truth Pass v2","Official/box-art aligned Custodes. Surface recipe for Leather using owned paints.","Matte","Standard","Standard","Truth Pass v2: scheme-aligned, inventory-locked paints. Generic fallback only.","references/Adeptus Custodes/Leather","Classic Gold (official/box-art compass)","Brown","",""
"AC_LENSESGEMS_MIX_01","Adeptus Custodes","Lenses & Gems","Truth Pass v2","Official/box-art aligned Custodes. Surface recipe for Lenses & Gems using owned paints.","Gloss","Standard","Standard","Truth Pass v2: scheme-aligned, inventory-locked paints. Generic fallback only.","references/Adeptus Custodes/Lenses & Gems","Classic Gold (official/box-art compass)","Glow","",""
"AC_METALS_MIX_01","Adeptus Custodes","Metals","Truth Pass v2","Official/box-art aligned Custodes. Surface recipe for Metals using owned paints.","Satin","Standard","Standard","Truth Pass v2: scheme-aligned, inventory-locked paints. Generic fallback only.","references/Adeptus Custodes/Metals","Classic Gold (official/box-art compass)","Steel","",""
"AC_WEAPONS_MIX_01","Adeptus Custodes","Weapons","Truth Pass v2","Official/box-art aligned Custodes. Surface recipe for Weapons using owned paints.","Matte","Standard","Standard","Truth Pass v2: scheme-aligned, inventory-locked paints. Generic fallback only.","references/Adeptus Custodes/Weapons","Classic Gold (official/box-art compass)","Black","",""
"AEB_ARMOUR_MIX_01","Aeldari - Blue","Armour","Box Art Target (Mixed Build)","Faction armour: box-art aligned target","Matte/Satin","Standard","Standard","Auto-filled from inventory_export.csv; source links to be added in targets.md","references/Aeldari - Blue/Armour","Blue Scheme","Blue","Aeldari — Blue","Aeldari"
"AEB_BASES_MIX_01","Aeldari - Blue","Bases","Box Art Target (Mixed Build)","Bases: neutral base pack for the faction","Matte","Easy","Standard","Auto-filled from inventory_export.csv; source links to be added in targets.md","references/Aeldari - Blue/Bases","Blue Scheme","Blue","Aeldari — Blue","Aeldari"
"AEB_CLOTH_MIX_01","Aeldari - Blue","Cloth & Robes","Box Art Target (Mixed Build)","Cloth/robes: readable contrast, clean folds","Matte","Easy","Standard","Auto-filled from inventory_export.csv; source links to be added in targets.md","references/Aeldari - Blue/Cloth & Robes","Blue Scheme","Blue","Aeldari — Blue","Aeldari"
"AEB_DETAILS_MIX_01","Aeldari - Blue","Details","Box Art Target (Mixed Build)","Details: parchment/seals/bone/readability","Matte","Easy","Standard","Auto-filled from inventory_export.csv; source links to be added in targets.md","references/Aeldari - Blue/Details","Blue Scheme","Blue","Aeldari — Blue","Aeldari"
"AEB_LEATHER_MIX_01","Aeldari - Blue","Leather","Box Art Target (Mixed Build)","Leather: tidy edges, controlled shade","Matte","Easy","Quick","Auto-filled from inventory_export.csv; source links to be added in targets.md","references/Aeldari - Blue/Leather","Blue Scheme","Blue","Aeldari — Blue","Aeldari"
"AEB_LENSES_MIX_01","Aeldari - Blue","Lenses & Gems","Box Art Target (Mixed Build)","Lenses/gems: high contrast, dot highlight","Gloss accent","Easy","Quick","Auto-filled from inventory_export.csv; source links to be added in targets.md","references/Aeldari - Blue/Lenses & Gems","Blue Scheme","Blue","Aeldari — Blue","Aeldari"
"AEB_METALS_MIX_01","Aeldari - Blue","Metals","Box Art Target (Mixed Build)","Metals/trim: clean shading + bright points","Satin/Metallic","Easy","Standard","Auto-filled from inventory_export.csv; source links to be added in targets.md","references/Aeldari - Blue/Metals","Blue Scheme","Blue","Aeldari — Blue","Aeldari"
"AEB_WEAPONS_MIX_01","Aeldari - Blue","Weapons","Box Art Target (Mixed Build)","Weapons/casings: clean, subtle edge highlights","Matte","Easy","Quick","Auto-filled from inventory_export.csv; source links to be added in targets.md","references/Aeldari - Blue/Weapons","Blue Scheme","Blue","Aeldari — Blue","Aeldari"
"AEL_ARMOUR_MIX_01","Aeldari","Armour","Truth Pass v2","Ulthwé baseline Aeldari. Surface recipe for Armour using owned paints.","Matte","Standard","Standard","Truth Pass v2: scheme-aligned, inventory-locked paints. Generic fallback only.","references/Aeldari/Armour","Ulthwé baseline (black armour + bone accents)","","",""
"AEL_ASU_ARMOUR_MIX_01","Asuryani","Armour","Truth Pass v2","Asuryani craftworld look anchored to an official-style palette; inventory-locked, practical steps.","Matte","Easy","Standard","Truth Pass v2: inventory-locked paints; replace placeholders; keep steps practical.","references/Asuryani/Armour","Asuryani: craftworld classic (wraithbone armour + teal gems)","Wraithbone/Off-White","",""
"AEL_ASU_BASES_MIX_01","Asuryani","Bases","Truth Pass v2","Asuryani craftworld look anchored to an official-style palette; inventory-locked, practical steps.","Matte","Easy","Standard","Truth Pass v2: inventory-locked paints; replace placeholders; keep steps practical.","references/Asuryani/Bases","Asuryani: craftworld classic (wraithbone armour + teal gems)","Earth","",""
"AEL_ASU_CLOTH_MIX_01","Asuryani","Cloth","Truth Pass v2","Asuryani craftworld look anchored to an official-style palette; inventory-locked, practical steps.","Matte","Easy","Standard","Truth Pass v2: inventory-locked paints; replace placeholders; keep steps practical.","references/Asuryani/Cloth","Asuryani: craftworld classic (wraithbone armour + teal gems)","Black/Grey","",""
